mu,brake_mps2,stop_time_s,stop_distance_m,lateral_capacity_mps2,pure_steer_m,combined_frozen_m,combined_braking_m,combined_before_stop
0.15,1.4715,16.989466530750935,212.36833163438666,0.0,50.481877734615225,,,False
0.5,4.905,5.09683995922528,63.710499490316,0.0,27.65006318046655,,,False
0.85,5.0,5.0,62.5,6.673123874917953,21.206630398835618,23.70560482781068,21.457782026801397,True
