name,controller,ky,kpsi,lookahead_m,dt_s,path_spacing_m,status,rmse_m,max_error_m,max_abs_lateral_accel_mps2,saturation_fraction,final_x_m
fb_baseline,feedback,0.01,2.0,20.0,0.01,0.25,completed,0.04189167539025775,0.14289642203234013,7.368285089943145,0.0,239.5713289110359
fb_high_ky,feedback,1.0,2.0,20.0,0.01,0.25,completed,9.013219728314981,21.99057518852346,47.677922938504516,0.6544546211490425,155.89327044096893
fb_low_ky,feedback,1e-06,2.0,20.0,0.01,0.25,completed,0.04195543497665773,0.14293048775007242,7.311839169328072,0.0,239.5737770520865
fb_high_kpsi,feedback,0.01,5.0,20.0,0.01,0.25,completed,0.015618498032686922,0.05326531229991517,5.405679257982216,0.0,239.59752418426382
fb_low_kpsi,feedback,0.01,0.5,20.0,0.01,0.25,completed,0.2227016512907935,0.5773490538704514,10.561191049606812,0.0,239.35460874490997
pp_10,pure_pursuit,0.01,2.0,10.0,0.01,0.25,completed,0.9111684039501388,1.985894341465522,15.840109988093404,0.0,237.30664993677655
pp_20,pure_pursuit,0.01,2.0,20.0,0.01,0.25,completed,0.250280607925347,0.596714151083193,2.7140941363304116,0.0,239.62207955393984
pp_55,pure_pursuit,0.01,2.0,55.0,0.01,0.25,completed,0.5969409880441853,1.1850364509146534,0.8178785176181967,0.0,239.9014409815335
