T_s,delta_m,jerk_integral,rms_jerk_mps3,target_error_m,min_gap_m,min_margin_m,min_speed_mps,max_speed_mps,min_accel_mps2,max_accel_mps2,max_abs_jerk_mps3,feasible
2.0,-5.0,37.5,4.330127018922194,-5.0,45.0,1.3085937499999998,20.0,25.0,-3.75,0.0,7.5,False
2.0,-4.0,59.99999999999995,5.4772255750516585,-4.0,44.0,0.036244899460859514,20.0,25.0,-4.444444444444442,3.1554436208840472e-30,14.999999999999988,False
2.0,-3.0,127.49999999999858,7.984359711335611,-3.0,43.0,-1.6768719877131328,20.000000000000004,25.2734375,-5.6855671236827625,0.8244560125716532,22.499999999999975,False
2.0,-2.0,240.00000000000063,10.954451150103337,-2.0,42.0,-3.5336176626935902,20.000000000000007,25.925925925925924,-7.042039303074593,2.1037676981363234,29.999999999999964,False
2.0,-1.0,397.500000000001,14.097872179871702,-1.0,41.0,-5.444933964582251,20.000000000000007,26.713867187499996,-8.437499999999988,3.472222222222213,37.49999999999995,False
2.0,0.0,599.9999999999923,17.32050807568866,-1.4210854715202004e-14,40.000000000000014,-7.381942475503047,20.0,27.55999999999999,-9.850584882424233,4.872807104646459,44.999999999999936,False
2.0,1.0,847.4999999999932,20.58518885023882,0.9999999999999929,39.00000000000001,-9.332954888651782,20.000000000000014,28.436053240740733,-11.273097295302831,6.288529394068274,52.49999999999993,False
2.0,2.0,1140.0000000000077,23.874672772626724,1.999999999999993,38.00000000000001,-11.292408158719608,20.0,29.329446064139937,-12.70123417782464,7.7125720463053895,59.99999999999992,False
2.0,3.0,1477.5000000000136,27.179955849853894,2.999999999999986,37.000000000000014,-13.257331677031146,20.0,30.233764648437486,-14.132993446023475,9.141674001579025,67.49999999999989,False
2.0,4.0,1860.000000000001,30.49590136395382,3.9999999999999574,36.00000000000004,-15.225998894584897,19.999999999999957,31.14540466392316,-15.567221679843785,10.574080390406166,74.99999999999986,False
2.0,5.0,2287.49999999998,33.81937314617156,4.999999999999972,35.00000000000003,-17.197339210474723,20.0,32.062187499999986,-17.003207842894795,12.008763398450364,82.49999999999987,False
2.0,6.0,2760.0000000000455,37.148351242013725,5.999999999999972,34.00000000000003,-19.170654033403043,20.0,32.98271975957925,-18.440489867574268,13.445081235802006,89.99999999999986,False
2.0,7.0,3277.4999999999964,40.48147724577252,6.999999999999986,33.000000000000014,-21.145468351902053,20.00000000000003,33.90606915509258,-19.878754506586642,14.882612531277992,97.49999999999986,False
2.0,8.0,3839.9999999999873,43.81780460041322,7.999999999999986,32.000000000000014,-23.12144802735072,20.0,34.831588529813374,-21.31778190713011,16.321069218109766,104.99999999999984,False
2.0,9.0,4447.499999999993,47.156653825308645,8.999999999999972,31.00000000000003,-25.098351231302928,20.0,35.758814686588906,-22.75741323019366,17.76024769731383,112.49999999999983,False
2.0,10.0,5099.999999999985,50.49752469181032,10.0,30.0,-27.075998656942048,20.000000000000057,36.68740740740739,-24.19753086419749,19.19999999999997,119.99999999999983,False
2.25,-20.0,3074.6532540771095,36.966370627471726,-19.99999999999997,48.7176032715382,2.40319194471346,9.344283306666696,25.0,-20.08660294400608,15.644718499561643,88.23045267489697,False
2.25,-19.0,2696.954732510282,34.621475239832684,-19.0,48.67107252895635,2.3968881551319248,10.168411470186628,25.0,-18.94913947300458,14.50761708276422,82.96296296296285,False
2.25,-18.0,2344.228014022245,32.278152322325084,-17.99999999999997,48.619333175926286,2.389707251370805,10.991192732620933,25.0,-17.812099658737168,13.371021934265809,77.69547325102869,False
2.25,-17.0,2016.4730986129962,29.936771136016333,-16.999999999999986,48.56135833215073,2.3814527576618874,11.81230857131396,25.0,-16.67558065568586,12.235057395439016,72.42798353909455,False
2.25,-16.0,1713.6899862825967,27.5978258908809,-15.999999999999986,48.495818236924144,2.371864889886426,12.631331610217861,25.0,-15.539711763207336,11.099892130879866,67.1604938271604,False
2.25,-15.0,1435.8786770309516,25.261993209219362,-14.999999999999972,48.420956508319414,2.360592881214451,13.447674876178862,25.0,-14.404668907623916,9.965760795359401,61.89300411522624,False
2.25,-14.0,1183.0391708580892,22.930224313077264,-13.999999999999957,48.334399347963114,2.347151442645208,14.260509828059186,25.0,-13.270697720816786,8.832999776625341,56.62551440329208,False
2.25,-13.0,955.1714677640653,20.60389895965287,-12.999999999999986,48.23285075790155,2.3308496674229024,15.068628256760096,25.0,-12.13815181413157,7.702108965990438,51.35802469135795,False
2.25,-12.0,752.2755677488058,18.28509493487105,-12.0,48.111585137814174,2.310669735498678,15.870197652373255,25.0,-11.00755933780528,6.57386469180211,46.09053497942381,False
2.25,-11.0,574.3514708123784,15.977087355367907,-10.999999999999986,47.963560536787504,2.285048832128143,16.662300646394904,25.0,-9.879745580470564,5.449541079066348,40.823045267489654,False
