t_s,position_m,speed_mps,accel_mps2,jerk_mps3,lead_position_m,gap_m,required_gap_m,margin_m
0.51,12.675022118854944,24.577687781872,-1.511993491199998,-2.144319359999997,60.2,47.52497788114506,46.866531672808,0.658446208337061
0.52,12.920723040862208,24.562461130752002,-1.5332868095999979,-2.1143654399999967,60.4,47.47927695913779,46.843691696128005,0.6355852630097871
0.53,13.166270636679394,24.547023042032002,-1.554281222399998,-2.084538239999997,60.6,47.43372936332061,46.820534563048,0.6131948002726091
0.54,13.411662806854658,24.531376498432003,-1.574977996799998,-2.054837759999997,60.8,47.38833719314534,46.79706474764801,0.5912724454973315
0.55,13.656897481700002,24.51552447,-1.595378399999998,-2.0252639999999973,61.0,47.3431025183,46.773286705,0.5698158133000035
0.56,13.901972621164546,24.499469914112,-1.615483699199998,-1.9958169599999973,61.2,47.29802737883546,46.749204871168004,0.5488225076674524
0.5700000000000001,14.14688621470781,24.483215775472,-1.6352951615999982,-1.9664966399999972,61.400000000000006,47.2531137852922,46.724823663208,0.5282901220842007
0.58,14.39163628117299,24.466764986112,-1.6548140543999978,-1.9373030399999975,61.6,47.20836371882701,46.700147479168,0.5082162396590064
0.59,14.636220868660255,24.450120465392,-1.6740416447999977,-1.9082361599999977,61.8,47.163779131339744,46.675180698088,0.48859843325174523
0.6,14.8806380544,24.43328512,-1.6929791999999975,-1.8792959999999976,62.0,47.1193619456,46.649927680000005,0.46943426559999324
0.61,15.124885944626143,24.416261843952,-1.7116279871999975,-1.8504825599999977,62.2,47.07511405537386,46.624392765928,0.450721289445859
0.62,15.368962674449408,24.399053518592,-1.7299892735999975,-1.8217958399999978,62.4,47.03103732555059,46.598580277888004,0.43245704766258797
0.63,15.612866407730593,24.381663012592,-1.7480643263999978,-1.7932358399999977,62.6,46.98713359226941,46.572494518888,0.4146390733814087
0.64,15.856595336953857,24.364093181952,-1.7658544127999973,-1.764802559999998,62.8,46.94340466304614,46.546139772928,0.39726489011813726
0.65,16.1001476831,24.34634687,-1.7833607999999979,-1.7364959999999978,63.0,46.899852316899995,46.519520305,0.3803320118999949
0.66,16.343521695519744,24.328426907392,-1.8005847551999978,-1.708316159999998,63.2,46.85647830448026,46.492640361088,0.3638379433922623
