t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.27,5.399999999986862,9.337298816210083e-06,4.148872443767347e-06,1.1289998803900891e-05,-4.4358156744491737e-07,4.4358156744491737e-07,-2.449764959503599e-06,-5.343111486452116e-06,0.00022579997607801783
0.28,5.599999999985098,1.0177579560649046e-05,4.250035583264655e-06,8.950427930325426e-06,-9.356862364719033e-07,9.356862364719033e-07,-2.4673823133781866e-06,-5.870450863228276e-06,0.00017900855860650852
0.29,5.799999999983256,1.1035698920909873e-05,4.3269877364804e-06,6.448343278602638e-06,-1.4328922557010771e-06,1.4328922557010774e-06,-2.4566807254399536e-06,-6.346253706580984e-06,0.00012896686557205275
0.3,5.99999999998136,1.1906660101146316e-05,4.378222298558953e-06,3.8073726718131358e-06,-1.929792033731673e-06,1.9297920337316733e-06,-2.507915287518507e-06,-6.9456226087686865e-06,7.614745343626271e-05
0.31,6.199999999979431,1.278516522535561e-05,4.402118713609514e-06,9.813307982045364e-07,-2.4158430188919886e-06,2.4158430188919886e-06,-2.4398480183460327e-06,-7.2955390555840535e-06,1.9626615964090726e-05
0.32,6.399999999977493,1.3665595914530538e-05,4.397340248834804e-06,-1.9273278944796683e-06,-2.8893467372185464e-06,2.8893467372185464e-06,-2.3385840082405645e-06,-7.566514753699675e-06,-3.854655788959337e-05
0.33,6.599999999975572,1.4542145596717922e-05,4.363225777140285e-06,-4.885704852570504e-06,-3.3440221971434315e-06,3.344022197143432e-06,-2.203239795068304e-06,-7.750501787280039e-06,-9.771409705141007e-05
0.34,6.799999999973694,1.540890922256244e-05,4.299455877998103e-06,-7.858365769198158e-06,-3.7734782660598586e-06,3.7734782660598586e-06,-2.0332626855669426e-06,-7.840003637193744e-06,-0.00015716731538396316
0.35000000000000003,6.999999999971883,1.6259954052400695e-05,4.206076847607614e-06,-1.080760916329468e-05,-4.171284457414187e-06,4.171284457414188e-06,-1.9398836551764534e-06,-8.051051767767093e-06,-0.00021615218326589362
0.36,7.199999999970162,1.7089365397029466e-05,4.083079054928171e-06,-1.3782034285042615e-05,-4.525171280555419e-06,4.5251712805554185e-06,-1.7054564474692144e-06,-7.936084175493849e-06,-0.0002756406857008523
0.37,7.399999999968554,1.7891237740721385e-05,3.930860890455913e-06,-1.6652031626295643e-05,-4.8339828435984435e-06,4.8339828435984435e-06,-1.4363298885879524e-06,-7.706642620774348e-06,-0.0003330406325259129
0.38,7.5999999999670775,1.8659845931073144e-05,3.7506836877251607e-06,-1.937433426914388e-05,-5.0914191567067225e-06,5.0914191567067225e-06,-1.1334959171162105e-06,-7.3584109909391435e-06,-0.0003874866853828776
