t_s,speed_mps,travelled_m,remaining_stop_m,pure_steer_m,combined_frozen_m
0.0,25.0,0.0,63.710499490316,27.65006318046655,nan
0.01698946653075093,24.916666666666668,0.424028768829992,63.28647072148601,27.55789630319833,nan
0.03397893306150186,24.833333333333332,0.8466417487824215,62.86385774153357,27.465729425930103,nan
0.05096839959225279,24.75,1.267838939857288,62.44266055045871,27.373562548661884,nan
0.06795786612300372,24.666666666666668,1.6876203420545925,62.02287914826141,27.281395671393664,nan
0.08494733265375465,24.583333333333332,2.1059859553743343,61.60451353494166,27.18922879412544,nan
0.10193679918450559,24.5,2.522935779816513,61.18756371049949,27.097061916857218,nan
0.11892626571525652,24.416666666666668,2.9384698153811297,60.77202967493488,27.004895039588998,nan
0.13591573224600745,24.333333333333332,3.352588062068184,60.35791142824782,26.912728162320775,nan
0.15290519877675837,24.25,3.765290519877675,59.94520897043832,26.820561285052552,nan
0.1698946653075093,24.166666666666668,4.176577188809604,59.5339223015064,26.728394407784332,nan
0.18688413183826025,24.083333333333332,4.58644806886397,59.12405142145202,26.63622753051611,nan
0.20387359836901117,24.0,4.994903160040773,58.715596330275226,26.54406065324789,nan
0.2208630648997621,23.916666666666668,5.401942462340014,58.308557027975986,26.451893775979666,nan
0.23785253143051305,23.833333333333332,5.807565975761693,57.9029335145543,26.359726898711443,nan
0.25484199796126394,23.75,6.211773700305809,57.49872579001019,26.267560021443224,nan
0.2718314644920149,23.666666666666668,6.614565635972363,57.09593385434365,26.175393144175,nan
0.28882093102276585,23.583333333333332,7.015941782761354,56.694557707554644,26.083226266906777,nan
0.30581039755351674,23.5,7.415902140672781,56.29459734964322,25.991059389638558,nan
0.3227998640842677,23.416666666666668,7.8144467097066475,55.89605278060936,25.898892512370335,nan
0.3397893306150186,23.333333333333332,8.21157548986295,55.49892400045304,25.80672563510211,nan
0.35677879714576954,23.25,8.60728848114169,55.10321100917431,25.714558757833892,nan
0.3737682636765205,23.166666666666668,9.001585683542869,54.70891380677313,25.622391880565672,nan
0.3907577302072714,23.083333333333332,9.394467097066483,54.31603239324951,25.530225003297446,nan
0.40774719673802234,23.0,9.785932721712536,53.92456676860346,25.438058126029226,nan
0.4247366632687733,22.916666666666668,10.175982557481026,53.53451693283498,25.345891248761006,nan
0.4417261297995242,22.833333333333336,10.564616604371954,53.145882885944054,25.253724371492783,nan
0.45871559633027514,22.75,10.95183486238532,52.75866462793068,25.16155749422456,nan
0.4757050628610261,22.666666666666668,11.33763733152112,52.37286215879488,25.06939061695634,nan
0.492694529391777,22.583333333333336,11.72202401177936,51.98847547853665,24.97722373968812,nan
