t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.33,6.599999999999566,1.7609039916442045e-06,8.245801822239687e-07,5.291977993923543e-06,9.437219407952298e-06,9.437219407952298e-06,1.3354057998480129e-06,7.620750940035294e-07,0.00010583955987847087
0.34,6.799999999999494,1.931178004591346e-06,8.784883147009744e-07,5.488991766570944e-06,9.704252951935091e-06,9.704252951935093e-06,1.3877048777301863e-06,7.908949683844441e-07,0.00010977983533141887
0.35000000000000003,6.999999999999412,2.1124331743851744e-06,9.34404271618087e-07,5.693517840090496e-06,9.976236420627388e-06,9.976236420627388e-06,1.3317889208130734e-06,7.656568246128106e-07,0.00011387035680180993
0.36,7.199999999999318,2.305071356685911e-06,9.922950308705023e-07,5.883999051430788e-06,1.025912275981567e-05,1.025912275981567e-05,1.3853275765884537e-06,7.952550158923835e-07,0.00011767998102861576
0.37,7.399999999999213,2.509480835216474e-06,1.0521304841809452e-06,6.082430151166856e-06,1.054777406193509e-05,1.0547774061935088e-05,1.4424005176870155e-06,8.266779994628587e-07,0.00012164860302333713
0.38,7.599999999999096,2.726058688031714e-06,1.1139929660936303e-06,6.28937638712663e-06,1.0842368086363937e-05,1.0842368086363937e-05,1.5031948045153199e-06,8.600210831212993e-07,0.0001257875277425326
0.39,7.799999999998965,2.955219034237843e-06,1.177970596832394e-06,6.505429558897622e-06,1.1143079683507978e-05,1.1143079683507978e-05,1.5679049584263246e-06,8.953832760482421e-07,0.00013010859117795244
0.4,7.999999999998819,3.197394217995042e-06,1.2441575525343887e-06,6.73120895791293e-06,1.1450079610802343e-05,1.1450079610802341e-05,1.50171800272433e-06,8.653597974701885e-07,0.00013462417915825859
0.41000000000000003,8.199999999998656,3.453027091506807e-06,1.3125202254079628e-06,6.940627531153858e-06,1.1770624917118404e-05,1.1770624917118404e-05,1.5683706737547188e-06,9.018915860485434e-07,0.00013881255062307715
0.42,8.399999999998474,3.7225453755739295e-06,1.3830288599930368e-06,7.160366896403125e-06,1.2098532915605548e-05,1.2098532915605548e-05,1.6395160573504131e-06,9.40743357831262e-07,0.0001432073379280625
0.43,8.599999999998273,4.006388822653904e-06,1.4557902481645843e-06,7.391141463192535e-06,1.243406036311197e-05,1.2434060363111968e-05,1.7153737804173072e-06,9.820274938397732e-07,0.0001478228292638507
0.44,8.79999999999805,4.305019268159046e-06,1.5309184781969556e-06,7.633696000663703e-06,1.277745905680603e-05,1.277745905680603e-05,1.7961722201814235e-06,1.025860700658772e-06,0.00015267392001327407
0.45,8.999999999997804,4.618922120468455e-06,1.6085352439378956e-06,7.888806749445332e-06,1.3128974344171985e-05,1.3128974344171987e-05,1.7185554544404835e-06,9.905674706619616e-07,0.00015777613498890665
0.46,9.199999999997534,4.948597062205e-06,1.6886076570787615e-06,8.124888911428386e-06,1.3497436247980661e-05,1.3497436247980663e-05,1.8020765706874877e-06,1.0360126478235504e-06,0.00016249777822856772
0.47000000000000003,9.399999999997235,5.2945270317801735e-06,1.771107727672733e-06,8.374293829369864e-06,1.3875388727981243e-05,1.3875388727981245e-05,1.8912138603047376e-06,1.0843608174321812e-06,0.00016748587658739727
0.48,9.599999999996905,5.657211180196601e-06,1.8561731273130877e-06,8.637907357062026e-06,1.4263176566349819e-05,1.4263176566349819e-05,1.98622515266422e-06,1.135744341995608e-06,0.0001727581471412405
0.49,9.799999999996544,6.037177090313288e-06,1.9439505611022696e-06,8.916650226281906e-06,1.4661136860987494e-05,1.4661136860987494e-05,2.087378694292053e-06,1.1903007157559013e-06,0.00017833300452563814
0.5,9.999999999996149,6.434982618874885e-06,2.03459612316246e-06,9.211479388463886e-06,1.5069597183504215e-05,1.5069597183504215e-05,1.9967331322318623e-06,1.1490625379509733e-06,0.00018422958776927772
0.51,10.199999999995716,6.851204662378965e-06,2.1280787602358123e-06,9.484139129497571e-06,1.5499285112139415e-05,1.549928511213941e-05,2.101471100529238e-06,1.2057284013860132e-06,0.00018968278258995144
0.52,10.399999999995243,7.286401602066973e-06,2.2243734895694413e-06,9.773841031384719e-06,1.5941193193232393e-05,1.5941193193232393e-05,2.2131433621532977e-06,1.2659836130089728e-06,0.00019547682062769436
0.53,10.599999999994726,7.741153261692338e-06,2.32365617093812e-06,1.0081669113850951e-05,1.6395764162666333e-05,1.639576416266633e-05,2.332053268111353e-06,1.3299842756823399e-06,0.000201633382277019
0.54,10.799999999994162,8.216075734502153e-06,2.4261137067657304e-06,1.0408747752468665e-05,1.686342962538309e-05,1.686342962538309e-05,2.4585166870264456e-06,1.3978926397670536e-06,0.00020817495504937332
0.55,10.999999999993548,8.71182363267071e-06,2.5319444538883593e-06,1.075624331413023e-05,1.7344607805972e-05,1.7344607805972e-05,2.3526859399038166e-06,1.3497890480116283e-06,0.0002151248662826046
0.56,11.19999999999288,9.229076489028321e-06,2.6411200685676336e-06,1.1077807703976335e-05,1.785231639125764e-05,1.785231639125764e-05,2.483687139766213e-06,1.420366733795683e-06,0.0002215561540795267
0.5700000000000001,11.399999999992152,9.768493262974085e-06,2.7536196030516993e-06,1.1420955328526477e-05,1.8375658973315825e-05,1.8375658973315825e-05,2.623173701042464e-06,1.4953434402543902e-06,0.00022841910657052952
0.58,11.59999999999136,1.0330760762138265e-05,2.869665485362013e-06,1.1787000940007599e-05,1.891518773591403e-05,1.891518773591403e-05,2.7715038284750576e-06,1.5749037915966691e-06,0.000235740018800152
0.59,11.7999999999905,1.0916611610279954e-05,2.9894935272382698e-06,1.2177306372893754e-05,1.9471439505770618e-05,1.9471439505770615e-05,2.929050891918192e-06,1.6592398410168023e-06,0.00024354612745787507
0.6,11.99999999998957,1.152682697178619e-05,3.113353405043288e-06,1.2593282553690438e-05,2.0044933028093937e-05,2.0044933028093937e-05,2.805191014113174e-06,1.6030448373375262e-06,0.00025186565107380873
0.61,12.19999999998856,1.2162220070521617e-05,3.241220078482084e-06,1.2978767141747857e-05,2.065145147872324e-05,2.065145147872324e-05,2.968337668543626e-06,1.6906833490590454e-06,0.00025957534283495715
0.62,12.399999999987466,1.2823581058194177e-05,3.3730774193999455e-06,1.3391325799535751e-05,2.127780035589776e-05,2.127780035589776e-05,3.1418024308801293e-06,1.7836792189990423e-06,0.00026782651599071503
0.63,12.599999999986283,1.3511735673520929e-05,3.5092041226884893e-06,1.383254408055828e-05,2.192465514987389e-05,2.192465514987389e-05,3.326010120588688e-06,1.882251611793083e-06,0.0002766508816111656
0.64,12.799999999985001,1.4227566998309087e-05,3.6498950166924597e-06,1.4304062937267574e-05,2.2592670913174216e-05,2.259267091317422e-05,3.5214040164552345e-06,1.9866287173593593e-06,0.00028608125874535147
0.65,12.999999999983615,1.4972018740375481e-05,3.7954616296268924e-06,1.4807581198342453e-05,2.328247897773427e-05,2.328247897773427e-05,3.375837403520802e-06,1.9207434915377435e-06,0.00029615162396684903
