s_m,t_s,speed_mps,road_limit_mps,traffic_limit_mps,combined_limit_mps,admissible_speed_mps,accel_mps2,x_m,y_m
63.0,2.5200000000000014,25.0,inf,25.0,25.0,25.0,0.0,63.0,0.0
64.0,2.5600000000000014,25.0,inf,25.0,25.0,25.0,0.0,64.0,0.0
65.0,2.6000000000000014,25.0,inf,25.0,25.0,25.0,0.0,65.0,0.0
66.0,2.6400000000000015,25.0,inf,25.0,25.0,25.0,0.0,66.0,0.0
67.0,2.6800000000000015,25.0,inf,25.0,25.0,25.0,0.0,67.0,0.0
68.0,2.7200000000000015,25.0,inf,25.0,25.0,25.0,0.0,68.0,0.0
69.0,2.7600000000000016,25.0,inf,25.0,25.0,25.0,0.0,69.0,0.0
70.0,2.8000000000000016,25.0,inf,25.0,25.0,25.0,0.0,70.0,0.0
71.0,2.8400000000000016,25.0,inf,25.0,25.0,25.0,0.0,71.0,0.0
72.0,2.8800000000000017,25.0,inf,25.0,25.0,25.0,0.0,72.0,0.0
73.0,2.9200000000000017,25.0,inf,25.0,25.0,25.0,0.0,73.0,0.0
74.0,2.9600000000000017,25.0,inf,25.0,25.0,25.0,0.0,74.0,0.0
75.0,3.0000000000000018,25.0,inf,25.0,25.0,25.0,0.0,75.0,0.0
76.0,3.040000000000002,25.0,inf,25.0,25.0,25.0,0.0,76.0,0.0
77.0,3.080000000000002,25.0,inf,25.0,25.0,25.0,0.0,77.0,0.0
78.0,3.120000000000002,25.0,inf,25.0,25.0,25.0,0.0,78.0,0.0
79.0,3.160000000000002,25.0,inf,25.0,25.0,25.0,0.0,79.0,0.0
80.0,3.200000000000002,25.0,inf,25.0,25.0,25.0,0.0,80.0,0.0
81.0,3.240000000000002,25.0,inf,25.0,25.0,25.0,0.0,81.0,0.0
82.0,3.280000000000002,25.0,inf,25.0,25.0,25.0,0.0,82.0,0.0
83.0,3.320000000000002,25.0,inf,25.0,25.0,25.0,0.0,83.0,0.0
84.0,3.360000000000002,25.0,inf,25.0,25.0,25.0,0.0,84.0,0.0
85.0,3.400000000000002,25.0,inf,25.0,25.0,25.0,0.0,85.0,0.0
86.0,3.440000000000002,25.0,inf,25.0,25.0,25.0,0.0,86.0,0.0
87.0,3.480000000000002,25.0,inf,25.0,25.0,25.0,0.0,87.0,0.0
88.0,3.5200000000000022,25.0,inf,25.0,25.0,25.0,0.0,88.0,0.0
89.0,3.5600000000000023,25.0,inf,25.0,25.0,25.0,0.0,89.0,0.0
90.0,3.6000000000000023,25.0,inf,25.0,25.0,25.0,0.0,90.0,0.0
91.0,3.6400000000000023,25.0,inf,25.0,25.0,25.0,0.0,91.0,0.0
92.0,3.6800000000000024,25.0,inf,25.0,25.0,25.0,0.0,92.0,0.0
93.0,3.7200000000000024,25.0,inf,25.0,25.0,25.0,0.0,93.0,0.0
94.0,3.7600000000000025,25.0,inf,25.0,25.0,25.0,0.0,94.0,0.0
95.0,3.8000000000000025,25.0,inf,25.0,25.0,25.0,0.0,95.0,0.0
96.0,3.8400000000000025,25.0,inf,25.0,25.0,25.0,0.0,96.0,0.0
97.0,3.8800000000000026,25.0,inf,25.0,25.0,25.0,0.0,97.0,0.0
98.0,3.9200000000000026,25.0,inf,25.0,25.0,25.0,0.0,98.0,0.0
99.0,3.9600000000000026,25.0,inf,25.0,25.0,25.0,0.0,99.0,0.0
100.0,4.000000000000003,25.0,inf,25.0,25.0,25.0,0.0,100.0,0.0
101.0,4.040000000000003,25.0,inf,25.0,25.0,25.0,0.0,101.0,0.0
102.0,4.080000000000003,25.0,inf,25.0,25.0,25.0,0.0,102.0,0.0
103.0,4.120000000000003,25.0,inf,25.0,25.0,25.0,0.0,103.0,0.0
104.0,4.160000000000003,25.0,inf,25.0,25.0,25.0,0.0,104.0,0.0
105.0,4.200000000000003,25.0,inf,25.0,25.0,25.0,0.0,105.0,0.0
106.0,4.240000000000003,25.0,inf,25.0,25.0,25.0,0.0,106.0,0.0
107.0,4.280000000000003,25.0,inf,25.0,25.0,25.0,0.0,107.0,0.0
108.0,4.320000000000003,25.0,inf,25.0,25.0,25.0,0.0,108.0,0.0
109.0,4.360000000000003,25.0,inf,25.0,25.0,25.0,0.0,109.0,0.0
110.0,4.400000000000003,25.0,inf,25.0,25.0,25.0,0.0,110.0,0.0
111.0,4.440000000000003,25.0,inf,25.0,25.0,25.0,0.0,111.0,0.0
112.0,4.480000000000003,25.0,inf,25.0,25.0,25.0,0.0,112.0,0.0
113.0,4.520000000000003,25.0,inf,25.0,25.0,25.0,0.0,113.0,0.0
114.0,4.560000000000003,25.0,inf,25.0,25.0,25.0,0.0,114.0,0.0
115.0,4.600000000000003,25.0,inf,25.0,25.0,25.0,0.0,115.0,0.0
116.0,4.640000000000003,25.0,inf,25.0,25.0,25.0,0.0,116.0,0.0
117.0,4.680000000000003,25.0,inf,25.0,25.0,25.0,0.0,117.0,0.0
118.0,4.720000000000003,25.0,inf,25.0,25.0,25.0,0.0,118.0,0.0
119.0,4.760000000000003,25.0,inf,25.0,25.0,25.0,0.0,119.0,0.0
120.0,4.800000000000003,25.0,inf,25.0,25.0,25.0,0.0,120.0,0.0
121.0,4.840000000000003,25.0,inf,25.0,25.0,25.0,0.0,121.0,0.0
122.0,4.8800000000000034,25.0,inf,25.0,25.0,25.0,0.0,122.0,0.0
123.0,4.9200000000000035,25.0,inf,25.0,25.0,25.0,0.0,123.0,0.0
124.0,4.9600000000000035,25.0,inf,25.0,25.0,25.0,0.0,124.0,0.0
125.0,5.0000000000000036,25.0,inf,25.0,25.0,25.0,0.0,125.0,0.0
126.0,5.040000000000004,25.0,inf,25.0,25.0,25.0,0.0,126.0,0.0
127.0,5.080000000000004,25.0,inf,25.0,25.0,25.0,0.0,127.0,0.0
128.0,5.120000000000004,25.0,inf,25.0,25.0,25.0,0.0,128.0,0.0
129.0,5.160000000000004,25.0,inf,25.0,25.0,25.0,0.0,129.0,0.0
130.0,5.200000000000004,25.0,inf,25.0,25.0,25.0,0.0,130.0,0.0
131.0,5.240000000000004,25.0,inf,25.0,25.0,25.0,0.0,131.0,0.0
132.0,5.280000000000004,25.0,inf,25.0,25.0,25.0,0.0,132.0,0.0
133.0,5.320000000000004,25.0,inf,25.0,25.0,25.0,0.0,133.0,0.0
134.0,5.360000000000004,25.0,inf,25.0,25.0,25.0,0.0,134.0,0.0
135.0,5.400000000000004,25.0,inf,25.0,25.0,25.0,0.0,135.0,0.0
136.0,5.440000000000004,25.0,inf,25.0,25.0,25.0,0.0,136.0,0.0
137.0,5.480000000000004,25.0,inf,25.0,25.0,25.0,0.0,137.0,0.0
138.0,5.520000000000004,25.0,inf,25.0,25.0,25.0,0.0,138.0,0.0
139.0,5.560000000000004,25.0,inf,25.0,25.0,25.0,0.0,139.0,0.0
140.0,5.600000000000004,25.0,inf,25.0,25.0,25.0,0.0,140.0,0.0
141.0,5.640000000000004,25.0,inf,25.0,25.0,25.0,0.0,141.0,0.0
142.0,5.680000000000004,25.0,inf,25.0,25.0,25.0,0.0,142.0,0.0
143.0,5.720000000000004,25.0,inf,25.0,25.0,25.0,0.0,143.0,0.0
144.0,5.760000000000004,25.0,inf,25.0,25.0,25.0,0.0,144.0,0.0
145.0,5.800000000000004,25.0,inf,25.0,25.0,25.0,0.0,145.0,0.0
146.0,5.840000000000004,25.0,inf,25.0,25.0,25.0,0.0,146.0,0.0
147.0,5.880000000000004,25.0,inf,25.0,25.0,25.0,0.0,147.0,0.0
148.0,5.920000000000004,25.0,inf,25.0,25.0,25.0,0.0,148.0,0.0
149.0,5.960000000000004,25.0,inf,25.0,25.0,25.0,0.0,149.0,0.0
150.0,6.000000000000004,25.0,inf,25.0,25.0,25.0,0.0,150.0,0.0
151.0,6.0400000000000045,25.0,inf,25.0,25.0,25.0,0.0,151.0,0.0
152.0,6.0800000000000045,25.0,inf,25.0,25.0,25.0,0.0,152.0,0.0
153.0,6.1200000000000045,25.0,inf,25.0,25.0,25.0,0.0,153.0,0.0
154.0,6.160000000000005,25.0,inf,25.0,25.0,25.0,0.0,154.0,0.0
155.0,6.200000000000005,25.0,inf,25.0,25.0,25.0,0.0,155.0,0.0
156.0,6.240000000000005,25.0,inf,25.0,25.0,25.0,0.0,156.0,0.0
157.0,6.280000000000005,25.0,inf,25.0,25.0,25.0,0.0,157.0,0.0
158.0,6.320000000000005,25.0,inf,25.0,25.0,25.0,0.0,158.0,0.0
159.0,6.360000000000005,25.0,inf,25.0,25.0,25.0,0.0,159.0,0.0
160.0,6.400000000000005,25.0,inf,25.0,25.0,25.0,0.0,160.0,0.0
161.0,6.440000000000005,25.0,inf,25.0,25.0,25.0,0.0,161.0,0.0
162.0,6.480000000000005,25.0,inf,25.0,25.0,25.0,0.0,162.0,0.0
163.0,6.520000000000005,25.0,inf,25.0,25.0,25.0,0.0,163.0,0.0
164.0,6.560000000000005,25.0,inf,25.0,25.0,25.0,0.0,164.0,0.0
165.0,6.600000000000005,25.0,inf,25.0,25.0,25.0,0.0,165.0,0.0
166.0,6.640000000000005,25.0,inf,25.0,25.0,25.0,0.0,166.0,0.0
167.0,6.680000000000005,25.0,inf,25.0,25.0,25.0,0.0,167.0,0.0
168.0,6.720000000000005,25.0,inf,25.0,25.0,25.0,0.0,168.0,0.0
169.0,6.760000000000005,25.0,inf,25.0,25.0,25.0,0.0,169.0,0.0
170.0,6.800000000000005,25.0,inf,25.0,25.0,25.0,0.0,170.0,0.0
171.0,6.840000000000005,25.0,inf,25.0,25.0,25.0,0.0,171.0,0.0
172.0,6.880000000000005,25.0,inf,25.0,25.0,25.0,0.0,172.0,0.0
173.0,6.920000000000005,25.0,inf,25.0,25.0,25.0,0.0,173.0,0.0
174.0,6.960000000000005,25.0,inf,25.0,25.0,25.0,0.0,174.0,0.0
175.0,7.000000000000005,25.0,inf,25.0,25.0,25.0,0.0,175.0,0.0
176.0,7.040000000000005,25.0,inf,25.0,25.0,25.0,0.0,176.0,0.0
177.0,7.080000000000005,25.0,inf,25.0,25.0,25.0,0.0,177.0,0.0
178.0,7.120000000000005,25.0,inf,25.0,25.0,25.0,0.0,178.0,0.0
179.0,7.1600000000000055,25.0,inf,25.0,25.0,25.0,0.0,179.0,0.0
180.0,7.2000000000000055,25.0,inf,25.0,25.0,25.0,0.0,180.0,0.0
181.0,7.2400000000000055,25.0,inf,25.0,25.0,25.0,0.0,181.0,0.0
182.0,7.280000000000006,25.0,inf,25.0,25.0,25.0,0.0,182.0,0.0
183.0,7.320000000000006,25.0,inf,25.0,25.0,25.0,0.0,183.0,0.0
184.0,7.360000000000006,25.0,inf,25.0,25.0,25.0,0.0,184.0,0.0
185.0,7.400000000000006,25.0,inf,25.0,25.0,25.0,0.0,185.0,0.0
186.0,7.440000000000006,25.0,inf,25.0,25.0,25.0,0.0,186.0,0.0
187.0,7.480000000000006,25.0,inf,25.0,25.0,25.0,0.0,187.0,0.0
188.0,7.520000000000006,25.0,inf,25.0,25.0,25.0,0.0,188.0,0.0
189.0,7.560000000000006,25.0,inf,25.0,25.0,25.0,0.0,189.0,0.0
190.0,7.600000000000006,25.0,inf,25.0,25.0,25.0,0.0,190.0,0.0
191.0,7.640000000000006,25.0,inf,25.0,25.0,25.0,0.0,191.0,0.0
192.0,7.680000000000006,25.0,inf,25.0,25.0,25.0,0.0,192.0,0.0
193.0,7.720000000000006,25.0,inf,25.0,25.0,25.0,0.0,193.0,0.0
194.0,7.760000000000006,25.0,inf,25.0,25.0,25.0,0.0,194.0,0.0
195.0,7.800000000000006,25.0,inf,25.0,25.0,25.0,0.0,195.0,0.0
196.0,7.840000000000006,25.0,inf,25.0,25.0,25.0,0.0,196.0,0.0
