controller,ky,kpsi,lookahead_m,dt_s,path_spacing_m,status,rmse_m,max_error_m,max_abs_lateral_accel_mps2,saturation_fraction,final_x_m
feedback,0.01,2.0,20.0,0.01,0.25,completed,0.04189167539025775,0.14289642203234013,7.368285089943145,0.0,239.5713289110359
feedback,0.01,2.0,20.0,0.005,0.25,completed,0.04174458127628196,0.14187656404648402,7.322586579261529,0.0,239.57182374128033
feedback,0.01,2.0,20.0,0.01,0.125,completed,0.04169192326488566,0.14273899247342536,7.401547447390317,0.0,239.57136272675052
pure_pursuit,0.01,2.0,20.0,0.01,0.25,completed,0.250280607925347,0.596714151083193,2.7140941363304116,0.0,239.62207955393984
pure_pursuit,0.01,2.0,20.0,0.005,0.25,completed,0.24853763172378635,0.5904390407508081,2.695305483878792,0.0,239.62327658127114
pure_pursuit,0.01,2.0,20.0,0.01,0.125,completed,0.25029366348568705,0.5967359549210197,2.714161389918304,0.0,239.6220709218336
