t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.11,2.1999999999999797,2.2096537806014155e-07,2.9888299619379325e-07,5.2878833200925115e-06,4.589785828106966e-06,4.589785828106966e-06,6.11495762406627e-07,1.2688893830943236e-06,0.00010575766640185023
0.12,2.399999999999969,2.861631236511254e-07,3.5375749352568434e-07,5.6856900786664585e-06,4.713378403053479e-06,4.71337840305348e-06,6.013850571921829e-07,1.2499038984149005e-06,0.00011371380157332917
0.13,2.5999999999999543,3.627284179412615e-07,4.125328225506787e-07,6.06810097998243e-06,4.8325381034968e-06,4.8325381034968e-06,5.895745740683086e-07,1.227474529171585e-06,0.0001213620195996486
0.14,2.799999999999935,4.514256766490797e-07,4.750497119890777e-07,6.434057012774266e-06,4.94672603027937e-06,4.946726030279371e-06,5.763318079669641e-07,1.2021308762367219e-06,0.00012868114025548532
0.15,2.999999999999909,5.529864795110609e-07,5.411394578228766e-07,6.782729871601356e-06,5.055441531408589e-06,5.055441531408589e-06,5.102420621331652e-07,1.0710385395804163e-06,0.0001356545974320271
0.16,3.199999999999876,6.680941999520008e-07,6.10420850730414e-07,7.072582501618448e-06,5.16094950454749e-06,5.16094950454749e-06,4.926576171702804e-07,1.0369247293860357e-06,0.00014145165003236895
0.17,3.3999999999998343,7.973416031498643e-07,6.825042019001917e-07,7.343185691033307e-06,5.260453630584594e-06,5.260453630584594e-06,4.7481317036827607e-07,1.002230877042398e-06,0.00014686371382066616
0.18,3.599999999999782,9.412698820521936e-07,7.571977767123791e-07,7.594690892225891e-06,5.353679410905633e-06,5.353679410905632e-06,4.5702544325669206e-07,9.675876806224405e-07,0.0001518938178445178
0.19,3.7999999999997187,1.1003821168029229e-06,8.343125930550559e-07,7.827496331789514e-06,5.440397016410681e-06,5.440397016410681e-06,4.396145521620453e-07,9.336330744881973e-07,0.00015654992663579028
0.2,3.9999999999996425,1.2751440713412494e-06,9.136648789291938e-07,8.042244989836518e-06,5.52042049091575e-06,5.52042049091575e-06,3.602622662879075e-07,7.757287374849725e-07,0.00016084489979673036
0.21,4.199999999999551,1.4659688585709692e-06,9.948296051581378e-07,8.19020703237262e-06,5.596909049432954e-06,5.596909049432954e-06,3.417371235790088e-07,7.394433376523471e-07,0.00016380414064745238
0.22,4.3999999999994435,1.6731687577444128e-06,1.0773871643429834e-06,8.320869249063867e-06,5.6668804341554634e-06,5.6668804341554634e-06,3.248991520548127e-07,7.064671084511801e-07,0.00016641738498127736
0.23,4.599999999999318,1.8970055893990625e-06,1.1611728511719145e-06,8.435884718786477e-06,5.730395969323384e-06,5.730395969323385e-06,3.100645006625432e-07,6.774329610183203e-07,0.00016871769437572953
0.24,4.799999999999173,2.1377099590897005e-06,1.2460395843361844e-06,8.537124436865265e-06,5.787556138599075e-06,5.787556138599076e-06,2.975391395019569e-07,6.529538403899046e-07,0.00017074248873730528
0.25,4.999999999999007,2.3954849960111253e-06,1.3318600243801911e-06,8.626665092933213e-06,5.83849684644521e-06,5.838496846445209e-06,2.1171869945795025e-07,4.818223673803526e-07,0.00017253330185866425
0.26,5.199999999998818,2.6704903642022997e-06,1.4182269837127617e-06,8.646660121220214e-06,5.887386905198663e-06,5.887386905198663e-06,2.012501510146975e-07,4.6137417108138165e-07,0.00017293320242440428
0.27,5.399999999998604,2.9627862738605278e-06,1.5047512819755488e-06,8.658161193127193e-06,5.930930974915388e-06,5.930930974915387e-06,1.9435620228819908e-07,4.4802171432555207e-07,0.00017316322386254384
0.28,5.5999999999983645,3.2723966965268275e-06,1.5913629207083405e-06,8.66414660139183e-06,5.969496627662992e-06,5.969496627662993e-06,1.9129034917812807e-07,4.422756646328861e-07,0.0001732829320278366
0.29,5.7999999999980965,3.599334630335459e-06,1.6780224030848131e-06,8.66773790249204e-06,6.003472034888087e-06,6.003472034888087e-06,1.9228460795563274e-07,4.4460393626014635e-07,0.0001733547580498408
0.3,5.9999999999978,3.943608336982201e-06,1.764722067379259e-06,8.672180148407206e-06,6.033259730449264e-06,6.0332597304492635e-06,1.0558494366118694e-07,2.715024846268665e-07,0.00017344360296814412
0.31,6.199999999997473,4.30520342447424e-06,1.8511218064309465e-06,8.607981664154578e-06,6.064118782008461e-06,6.06411878200846e-06,1.1114888883253449e-07,2.8293896548515355e-07,0.00017215963328309156
0.32,6.399999999997115,4.684016204382073e-06,1.9369086591412756e-06,8.549583544927981e-06,6.092232972951279e-06,6.092232972951278e-06,1.2184758145296395e-07,3.0461749263544067e-07,0.00017099167089855964
0.33,6.599999999996723,5.079931220104839e-06,2.0221604011863495e-06,8.500927057892009e-06,6.1181921794932635e-06,6.1181921794932635e-06,1.3782558088563207e-07,3.368330835661968e-07,0.0001700185411578402
0.34,6.799999999996297,5.492852524439311e-06,2.1069944155226524e-06,8.465992262645882e-06,6.14257843208903e-06,6.142578432089031e-06,1.5919877690850795e-07,3.798233381379062e-07,0.00016931984525291765
0.35000000000000003,6.999999999995835,5.922711631953674e-06,2.1915679623843708e-06,8.448774504177609e-06,6.16595796306057e-06,6.16595796306057e-06,7.46252300467896e-08,2.109100397241849e-07,0.00016897549008355216
0.36,7.1999999999953355,6.369445936128744e-06,2.2756354563357378e-06,8.365003532164548e-06,6.194748180374856e-06,6.194748180374856e-06,1.0198715112321843e-07,2.6592178405018543e-07,0.00016730007064329097
0.37,7.399999999994798,6.832917822027562e-06,2.358982855762275e-06,8.304677446931548e-06,6.22433707512644e-06,6.224337075126439e-06,1.3554814610568575e-07,3.333396629626359e-07,0.00016609354893863096
0.38,7.599999999994222,7.31300820599471e-06,2.4418669282760004e-06,8.272245167089151e-06,6.255418568403894e-06,6.255418568403895e-06,1.7532084233294985e-07,4.1319587034993866e-07,0.00016544490334178302
0.39,7.799999999993606,7.80965378157568e-06,2.5245885526949638e-06,8.2720802663912e-06,6.288644936173725e-06,6.288644936173725e-06,2.2128700256375506e-07,5.054604544892474e-07,0.000165441605327824
0.4,7.999999999992948,8.322855758668363e-06,2.607491849612429e-06,8.308457854351968e-06,6.324618070132223e-06,6.324618070132223e-06,1.3838370564628984e-07,3.400135919939019e-07,0.00016616915708703937
0.41000000000000003,8.199999999992245,8.852652582144018e-06,2.6904266099845576e-06,8.278593770405271e-06,6.3709994264851245e-06,6.370999426485125e-06,1.9046428917812388e-07,4.44638572621099e-07,0.00016557187540810543
0.42,8.399999999991499,9.399020571955942e-06,2.7732735580522825e-06,8.29075530331826e-06,6.422057719228379e-06,6.422057719228379e-06,2.4927135929116743e-07,5.627632957746187e-07,0.0001658151060663652
0.43,8.599999999990706,9.961985703456034e-06,2.8564755956879764e-06,8.34945654635672e-06,6.478463482315787e-06,6.478463482315786e-06,3.1468843289391505e-07,6.94161500610988e-07,0.0001669891309271344
0.44,8.799999999989867,1.0541666986503164e-05,2.940519867761731e-06,8.459032602453606e-06,6.5408113384692024e-06,6.540811338469203e-06,3.8657083061664813e-07,8.385497746179883e-07,0.00016918065204907213
0.45,8.999999999988976,1.1138285128677583e-05,3.0259358764732075e-06,8.623620494877849e-06,6.609611335969572e-06,6.609611335969572e-06,3.011548219051717e-07,6.684057571700391e-07,0.000172472409897557
0.46,9.199999999988034,1.175212739628064e-05,3.1126433837053883e-06,8.717567783281503e-06,6.693905913913307e-06,6.693905913913307e-06,3.7804084406086097e-07,8.23020747260855e-07,0.00017435135566563006
0.47000000000000003,9.399999999987038,1.2383425001690125e-05,3.2005882101657797e-06,8.870886429265063e-06,6.786490758081492e-06,6.786490758081491e-06,4.6173337781169093e-07,9.913316632041967e-07,0.00017741772858530125
0.48,9.599999999985984,1.3032486203272074e-05,3.2903853818298446e-06,9.08782475121861e-06,6.88790154328683e-06,6.88790154328683e-06,5.520128981474629e-07,1.172904811727794e-06,0.0001817564950243722
0.49,9.799999999984871,1.3699746427188864e-05,3.3826911242102804e-06,9.372375191148856e-06,6.998567524127125e-06,6.998567524127125e-06,6.48638131184042e-07,1.3672619376093552e-06,0.00018744750382297714
0.5,9.999999999983695,1.438577624721568e-05,3.4782002404783776e-06,9.728261733656404e-06,7.118803555177821e-06,7.118803555177821e-06,5.531290149159448e-07,1.1774460653836679e-06,0.0001945652346731281
0.51,10.19999999998245,1.5091236234085389e-05,3.5768557560681595e-06,1.0001929128630309e-05,7.259253540450581e-06,7.259253540450581e-06,6.526941046968908e-07,1.3779807447982873e-06,0.0002000385825726062
0.52,10.399999999981135,1.5816725780408316e-05,3.6786191693329706e-06,1.0349594600020002e-05,7.410869014912429e-06,7.410869014912429e-06,7.588976823897685e-07,1.5919040549286611e-06,0.00020699189200040004
0.53,10.599999999979744,1.6562941749166973e-05,3.7842497099536485e-06,1.077509514075011e-05,7.5739756752175585e-06,7.573975675217558e-06,8.714597290958244e-07,1.8186592149438244e-06,0.00021550190281500222
0.54,10.79999999997827,1.733073658695465e-05,3.894543490211154e-06,1.128197126621263e-05,7.74876877296171e-06,7.748768772961709e-06,9.90086903581022e-07,2.057661494891661e-06,0.0002256394253242526
0.55,10.999999999976708,1.8121125402276628e-05,4.010330514134883e-06,1.1873461816321837e-05,7.935306036396082e-06,7.935306036396082e-06,8.742998796572928e-07,1.8279528196785464e-06,0.00023746923632643675
0.56,11.199999999975052,1.893522871469504e-05,4.13151731697809e-06,1.2362269338506841e-05,8.146164165627022e-06,8.146164165627022e-06,9.932898913557565e-07,2.0680414243677833e-06,0.00024724538677013685
0.5700000000000001,11.399999999973293,1.9774086804535728e-05,4.258020630567141e-06,1.2936479281075852e-05,8.370065431797402e-06,8.370065431797402e-06,1.1187726735270218e-06,2.3212460013720175e-06,0.00025872958562151707
0.58,11.599999999971422,2.063884954991781e-05,4.390712053453506e-06,1.3599594835851919e-05,8.607098948186034e-06,8.607098948186034e-06,1.2504572603835642e-06,2.586985510248989e-06,0.00027199189671703837
0.59,11.799999999969433,2.1530844551540023e-05,4.530496713739077e-06,1.4354819719380375e-05,8.85720656457176e-06,8.85720656457176e-06,1.3880477054173846e-06,2.8646674764804867e-06,0.0002870963943876075
0.6,11.999999999967313,2.245158353958504e-05,4.678310281355796e-06,1.5205059574739132e-05,9.120176460354704e-06,9.120176460354704e-06,1.2402341378006656e-06,2.5716700402048782e-06,0.00030410119149478263
0.61,12.199999999965051,2.340269097009084e-05,4.833959679759775e-06,1.592242879401313e-05,9.41098057922475e-06,9.410980579224752e-06,1.3755980672659352e-06,2.845305940324118e-06,0.00031844857588026257
0.62,12.399999999962635,2.4385677193309933e-05,4.997255150853445e-06,1.6733960227955438e-05,9.715704220865608e-06,9.715704220865608e-06,1.5176246994266297e-06,3.1324064410619154e-06,0.00033467920455910875
0.63,12.599999999960051,2.5402166747689202e-05,5.169155713593827e-06,1.764312167889944e-05,1.003422407580408e-05,1.0034224075804082e-05,1.6660585296833504e-06,3.4324593001247416e-06,0.0003528624335779888
0.64,12.799999999957285,2.6453979352308698e-05,5.350653702792513e-06,1.8653109420551964e-05,1.0366258559290234e-05,1.0366258559290234e-05,1.8206453303551811e-06,3.7449532463032646e-06,0.0003730621884110393
0.65,12.99999999995432,2.7543136300453888e-05,5.542772082731432e-06,1.9766853959195434e-05,1.0711361417769039e-05,1.0711361417769039e-05,1.628526950416262e-06,3.3641675150102143e-06,0.00039533707918390867
0.66,13.199999999951135,2.867177276371244e-05,5.7451607526815816e-06,2.0707743625299223e-05,1.1087506675860673e-05,1.1087506675860672e-05,1.778747854319692e-06,3.6683707753979906e-06,0.0004141548725059845
0.67,13.399999999947712,2.98418619670242e-05,5.957469225207158e-06,2.1750474990407267e-05,1.1477691217498227e-05,1.1477691217498229e-05,1.9363862058357874e-06,3.987549323846557e-06,0.0004350094998081453
0.68,13.599999999944028,3.105549102377478e-05,6.180735552587263e-06,2.289896206518568e-05,1.1881646894428775e-05,1.1881646894428775e-05,2.1012563538346536e-06,4.321329176613595e-06,0.00045797924130371357
0.6900000000000001,13.799999999940063,3.231495849623816e-05,6.416035795396923e-06,2.41568932502118e-05,1.229893882497551e-05,1.2298938824975512e-05,2.2731765470340247e-06,4.669342482317804e-06,0.000483137865004236
