t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.32,6.399999999997923,3.758609881900367e-06,1.8865560672715686e-06,1.3573811901477068e-05,7.01763929543269e-06,7.017639295432689e-06,1.7220017332267097e-07,2.2990503407379736e-06,0.0002714762380295414
0.33,6.59999999999754,4.149709874982166e-06,2.0255134090050417e-06,1.4215517354305311e-05,7.048413524615531e-06,7.048413524615531e-06,1.3447257306693982e-07,2.381310533602332e-06,0.00028431034708610624
0.34,6.7999999999971,4.569249698402847e-06,2.170987489453302e-06,1.4877093406849724e-05,7.0661812581249405e-06,7.0661812581249405e-06,9.520570297785855e-08,2.4663649828504935e-06,0.0002975418681369945
0.35000000000000003,6.999999999996596,5.0185528094014385e-06,2.3231805921766694e-06,1.5559253194543187e-05,7.070116785612204e-06,7.070116785612204e-06,-5.698739974550903e-08,2.5543024969593025e-06,0.00031118506389086375
0.36,7.199999999996018,5.498983842115924e-06,2.4823022376880575e-06,1.6262730902304125e-05,7.065210274386839e-06,7.065210274386839e-06,-1.0467963022910128e-07,2.6465725618960458e-06,0.0003252546180460825
0.37,7.39999999999536,6.01195025640017e-06,2.6485720951601714e-06,1.6988820212118318e-05,7.045304640752676e-06,7.045304640752676e-06,-1.540410932922107e-07,2.742041849994898e-06,0.00033977640424236633
0.38,7.599999999994612,6.558904580688333e-06,2.8222203904556634e-06,1.7738340361525292e-05,7.009522193708708e-06,7.009522193708708e-06,-2.050326198467132e-07,2.840813618125894e-06,0.0003547668072305058
0.39,7.799999999993764,7.1413462160891075e-06,3.003485665576122e-06,1.8512135258534734e-05,6.956952501658212e-06,6.956952501658212e-06,-2.5761011031740306e-07,2.9429933355933704e-06,0.0003702427051706947
0.4,7.999999999992804,7.76082312441385e-06,3.1926150273116053e-06,1.9311073869301116e-05,6.886650704384225e-06,6.886650704384224e-06,-4.4673947205288655e-07,3.0486886511869492e-06,0.00038622147738602233
0.41000000000000003,8.199999999991721,8.418933566315341e-06,3.3898643996629545e-06,2.0136050585073197e-05,6.804718442310495e-06,6.804718442310495e-06,-5.08973500500273e-07,3.159655662551978e-06,0.00040272101170146394
0.42,8.3999999999905,9.117328108680598e-06,3.5955020505953805e-06,2.098863754822913e-05,6.703750182499423e-06,6.703750182499423e-06,-5.729571332519306e-07,3.2745213630688577e-06,0.0004197727509645826
0.43,8.59999999998913,9.85771235155131e-06,3.809809085528477e-06,2.1869832023590484e-05,6.5827368342149965e-06,6.582736834214996e-06,-6.386450569465857e-07,3.3934108758488335e-06,0.00043739664047180965
0.44,8.799999999987593,1.0641849123302358e-05,4.033076732051343e-06,2.2780661080884284e-05,6.440629201662995e-06,6.440629201662995e-06,-7.05986033672964e-07,3.5164519956157618e-06,0.0004556132216176857
0.45,8.99999999998587,1.1471560535037378e-05,4.2656066403187044e-06,2.372218206259587e-05,6.276335929601292e-06,6.276335929601293e-06,-9.385159419403253e-07,3.643775149024743e-06,0.0004744436412519174
0.46,9.199999999983946,1.234873009552299e-05,4.507711188000244e-06,2.469548302684269e-05,6.097303214660324e-06,6.097303214660324e-06,-1.0170269602339951e-06,3.777507784858067e-06,0.0004939096605368538
0.47000000000000003,9.3999999999818,1.3275305152141946e-05,4.7597177519361654e-06,2.5702473012914074e-05,5.8946106076164675e-06,5.8946106076164675e-06,-1.0973961639586948e-06,3.9159865210169745e-06,0.0005140494602582815
0.48,9.599999999979406,1.4253300203345658e-05,5.0219693050253e-06,2.6744364515142585e-05,5.6670875431969815e-06,5.667087543196981e-06,-1.1795710250479928e-06,4.05936292002179e-06,0.0005348872903028517
0.49,9.799999999976746,1.5284799566724057e-05,5.294821125778978e-06,2.7822406041643944e-05,5.413514384572058e-06,5.413514384572058e-06,-1.2634918703846557e-06,4.2077917715308166e-06,0.0005564481208328788
0.5,9.999999999973792,1.6371959876331085e-05,5.57864116129282e-06,2.893788267922859e-05,5.132619926038629e-06,5.132619926038629e-06,-1.5473119058984975e-06,4.3614310446719096e-06,0.0005787576535845717
0.51,10.199999999970514,1.751701265315944e-05,5.873810395716845e-06,3.0092116628249304e-05,4.833477121347747e-06,4.833477121347747e-06,-1.6442605349517947e-06,4.5228579239445005e-06,0.0006018423325649861
0.52,10.399999999966882,1.8722267270368036e-05,6.180728024039975e-06,3.128742454118084e-05,4.50532752491807e-06,4.5053275249180696e-06,-1.7432111723172358e-06,4.690057258481956e-06,0.0006257484908236169
0.53,10.599999999962863,1.999011497405555e-05,6.499812174079946e-06,3.2525279144493685e-05,4.146802450287525e-06,4.146802450287525e-06,-1.8441027350304728e-06,4.863212582622401e-06,0.0006505055828898737
0.54,10.799999999958422,2.1323032123190466e-05,6.831495919257248e-06,3.3807196687188045e-05,3.7564732366765666e-06,3.7564732366765666e-06,-1.946865525465072e-06,5.042511329694501e-06,0.0006761439337437608
0.55,10.999999999953516,2.2723583222482698e-05,7.176227717243295e-06,3.5134737623093755e-05,3.332848216131635e-06,3.332848216131635e-06,-2.2915973234511187e-06,5.228144774962636e-06,0.0007026947524618752
0.56,11.199999999948107,2.4194424043655098e-05,7.534471855250457e-06,3.650950725706448e-05,2.886968836597934e-06,2.886968836597934e-06,-2.4096646469166106e-06,5.423234729198078e-06,0.0007301901451412896
0.5700000000000001,11.399999999942146,2.5738305224689514e-05,7.906714716279532e-06,3.7934315426685564e-05,2.4058470115623594e-06,2.4058470115623594e-06,-2.5299214121853692e-06,5.6253399343631065e-06,0.0007586863085337113
0.58,11.599999999935584,2.7358077147493334e-05,8.293465652458546e-06,3.941094952807276e-05,1.8878713505152474e-06,1.8878713505152472e-06,-2.6522963386214753e-06,5.834682587049664e-06,0.0007882189905614552
0.59,11.79999999992837,2.9056693869417365e-05,8.695252153768098e-06,4.094124956027352e-05,1.3313572465831902e-06,1.3313572465831902e-06,-2.776707734611636e-06,6.051489595000173e-06,0.0008188249912054705
0.6,11.999999999920442,3.083721680370525e-05,9.112620378205054e-06,4.252710894939968e-05,7.345431961039519e-07,7.345431961039518e-07,-3.1940759590485915e-06,6.275992509184179e-06,0.0008505421789879936
0.61,12.19999999991174,3.270281850678545e-05,9.546135689970795e-06,4.417047532954187e-05,1.1085304237839867e-07,1.1085304237839867e-07,-3.3365779429450844e-06,6.511972616616923e-06,0.0008834095065908375
0.62,12.399999999902192,3.465678704429217e-05,9.996390248545082e-06,4.587475525904007e-05,-5.554056302924303e-07,5.554056302924303e-07,-3.4815103982650072e-06,6.756472551629043e-06,0.0009174951051808014
0.63,12.599999999891729,3.670253190537316e-05,1.0464004065097975e-05,4.764211664658591e-05,-1.2661410820829027e-06,1.2661410820829027e-06,-3.628789821820797e-06,7.009761260264156e-06,0.0009528423329317182
