t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.33,6.599999999996875,4.960391900850653e-06,1.978947687379361e-06,8.39512385691554e-06,6.237731498747499e-06,6.237731498747499e-06,1.810382946926204e-07,3.620828271167395e-07,0.0001679024771383108
0.34,6.799999999996467,5.364568910849979e-06,2.0627843443503772e-06,8.372283673820203e-06,6.270862045678416e-06,6.2708620456784165e-06,2.0340884808078317e-07,4.06823967023612e-07,0.00016744567347640405
0.35000000000000003,6.999999999996024,5.7854964992248195e-06,2.146483757072119e-06,8.367614435186164e-06,6.303173095789499e-06,6.303173095789498e-06,1.197094353590415e-07,2.394251738911788e-07,0.0001673522887037233
0.36,7.199999999995544,6.223137123638061e-06,2.2298043644718456e-06,8.296743289943182e-06,6.341056992865624e-06,6.341056992865624e-06,1.4781824298711058e-07,2.95642827031214e-07,0.00016593486579886363
0.37,7.399999999995028,6.677378926706546e-06,2.3125349900078892e-06,8.24953916968358e-06,6.379875970447545e-06,6.379875970447545e-06,1.8199601186007148e-07,3.639984035961134e-07,0.0001649907833936716
0.38,7.599999999994474,7.148129032389092e-06,2.3949340677437773e-06,8.23034037565025e-06,6.4202977420096086e-06,6.420297742009608e-06,2.2225370286517296e-07,4.4451382602808794e-07,0.000164606807513005
0.39,7.799999999993881,7.635350563889443e-06,2.477303027357128e-06,8.243407986834784e-06,6.4629481538600595e-06,6.4629481538600595e-06,2.685725279015906e-07,5.371515187513351e-07,0.00016486815973669567
0.4,7.999999999993247,8.13907115817568e-06,2.5599854113814445e-06,8.292903826286686e-06,6.508402670625034e-06,6.508402670625034e-06,1.858901438772743e-07,3.717867961572192e-07,0.00016585807652573373
0.41000000000000003,8.19999999999257,8.659355458397245e-06,2.6428293014420396e-06,8.275930764628383e-06,6.564296550232035e-06,6.564296550232034e-06,2.380615977206419e-07,4.7612975973783403e-07,0.00016551861529256768
0.42,8.399999999991849,9.196205518990354e-06,2.725712448577264e-06,8.300616374253068e-06,6.624872772194097e-06,6.624872772194098e-06,2.968324687661861e-07,5.936715624051443e-07,0.00016601232748506136
0.43,8.599999999991082,9.74967232475135e-06,2.80907352383998e-06,8.371362848689693e-06,6.6907768610206e-06,6.690776861020599e-06,3.6209050474191167e-07,7.241877002606844e-07,0.00016742725697379386
0.44,8.79999999999027,1.0319898937895268e-05,2.893394336889729e-06,8.492396302694468e-06,6.76257938707721e-06,6.76257938707721e-06,4.3369636148865035e-07,8.673994855566878e-07,0.00016984792605388938
0.45,8.999999999989408,1.0907128943678008e-05,2.9791979850472233e-06,8.667748800602155e-06,6.840767520969305e-06,6.840767520969305e-06,3.4789271333115576e-07,6.957922674298325e-07,0.0001733549760120431
0.46,9.199999999988494,1.1511671101860903e-05,3.0663968014706675e-06,8.7716680747272e-06,6.934362208333186e-06,6.934362208333186e-06,4.2428742629558176e-07,8.485817869533718e-07,0.000175433361494544
0.47000000000000003,9.399999999987527,1.2133776523347602e-05,3.1549280396724898e-06,8.934038313104904e-06,7.036139236424125e-06,7.0361392364241245e-06,5.073935483049808e-07,1.014794132749198e-06,0.0001786807662620981
0.48,9.599999999986501,1.277377153649491e-05,3.2453970705476462e-06,9.15901790445427e-06,7.146616210064072e-06,7.146616210064072e-06,5.970012094296613e-07,1.1940095654755325e-06,0.0001831803580890854
