t_s,x_m,y_m,heading_rad,yaw_rate_radps,signed_error_m,distance_error_m,heading_error_rad,curvature_command_pm,lateral_accel_mps2
0.5,9.999999999983347,1.5939780975561264e-05,3.299808438184296e-06,1.7464395458547383e-05,5.564798826843459e-06,5.5647988268434596e-06,7.315208172100266e-07,3.7132520743185675e-06,0.00034928790917094767
0.51,10.199999999982198,1.6617583836274025e-05,3.480094779610687e-06,1.8589123605422028e-05,5.732905938274536e-06,5.732905938274535e-06,7.494550811543631e-07,3.8046044651545606e-06,0.00037178247210844053
0.52,10.39999999998092,1.733257335213919e-05,3.6716981686007616e-06,1.9727758613503703e-05,5.895021443195526e-06,5.895021443195526e-06,7.658186831219775e-07,3.8880436300418425e-06,0.00039455517227007407
0.53,10.599999999979497,1.8087025697460505e-05,3.874740570835587e-06,2.087689126105079e-05,6.049891726939391e-06,6.04989172693939e-06,7.809688682138859e-07,3.965343258338823e-06,0.0004175378252210158
0.54,10.799999999977912,1.8883238288380142e-05,4.08931372228731e-06,2.2033882261482872e-05,6.196267071552988e-06,6.196267071552988e-06,7.953166715048662e-07,4.038546028239861e-06,0.00044067764522965746
0.55,10.999999999976147,1.9723524537450693e-05,4.315487286497062e-06,2.3196953544359313e-05,6.332906901238385e-06,6.332906901238385e-06,5.691431072951139e-07,2.909044605487953e-06,0.0004639390708871863
0.56,11.199999999974182,2.0610051008417377e-05,4.550932009784614e-06,2.388968193997939e-05,6.4713418719222174e-06,6.4713418719222174e-06,5.738751985492327e-07,2.934089411465386e-06,0.00047779363879958784
0.5700000000000001,11.399999999972,2.1544357879949267e-05,4.793284961049502e-06,2.457861180203577e-05,6.5997943564025035e-06,6.5997943564025035e-06,5.835083430446613e-07,2.9835396587873315e-06,0.0004915722360407154
0.58,11.59999999996958,2.2527826262093674e-05,5.042557019393583e-06,2.5273483548862528e-05,6.718122236029835e-06,6.718122236029836e-06,5.986122944434874e-07,3.0602426945777354e-06,0.0005054696709772506
0.59,11.799999999966905,2.356184949427325e-05,5.298861157440817e-06,2.5984972350599154e-05,6.826201621859144e-06,6.826201621859144e-06,6.196832617156448e-07,3.1666783247968156e-06,0.0005196994470119831
0.6,11.999999999963956,2.4647854443781174e-05,5.562420965793893e-06,2.672452406381173e-05,6.923905556177162e-06,6.923905556177162e-06,3.561234533625692e-07,1.8498563223746175e-06,0.0005344904812762346
0.61,12.19999999996071,2.578713130259341e-05,5.8306866525107975e-06,2.6927935219327766e-05,7.026540246741187e-06,7.026540246741187e-06,3.7887109451491244e-07,1.964620875041974e-06,0.0005385587043865553
0.62,12.399999999957151,2.6980278586040286e-05,6.10119425115898e-06,2.717276837204819e-05,7.121102828154589e-06,7.121102828154588e-06,4.136855991210943e-07,2.139639023887017e-06,0.0005434553674409638
0.63,12.59999999995326,2.8227793817383005e-05,6.374473574815335e-06,2.748206533429029e-05,7.2085970061298665e-06,7.2085970061298665e-06,4.607406684618424e-07,2.375789312370511e-06,0.0005496413066858058
0.64,12.799999999949017,2.9530303488019875e-05,6.651284311214678e-06,2.787875958643981e-05,7.289934423598878e-06,7.289934423598878e-06,5.200147219330166e-07,2.6729729539010716e-06,0.0005575751917287962
0.65,12.999999999944405,3.088860879514543e-05,6.932613008497572e-06,2.8385291373434454e-05,7.365888923092422e-06,7.365888923092422e-06,2.386860246501224e-07,1.2670890124815362e-06,0.0005677058274686891
0.66,13.1999999999394,3.2303496499582786e-05,7.216163589981915e-06,2.8325025815458384e-05,7.455782940004835e-06,7.455782940004835e-06,3.077450170193587e-07,1.6132829144968417e-06,0.0005665005163091677
0.67,13.399999999933986,3.3775080382910093e-05,7.499805297431072e-06,2.8403055566358808e-05,7.544472801626523e-06,7.544472801626523e-06,3.9405013361187327e-07,2.0456953960756316e-06,0.0005680611113271761
0.68,13.599999999928144,3.530352748660174e-05,7.78507863946478e-06,2.8650787040721646e-05,7.633610431615967e-06,7.633610431615967e-06,4.96913266957137e-07,2.5609024391018447e-06,0.0005730157408144329
0.6900000000000001,13.799999999921857,3.6889343697688344e-05,8.073828266429172e-06,2.90976487624336e-05,7.724553623539818e-06,7.724553623539818e-06,6.153840760017749e-07,3.1541659162442727e-06,0.000581952975248672
