iteration,total_cost,jerk_cost,time_cost,position_cost
0,267482.3478339941,177476.82498304374,89912.54320319739,92.97964775293313
1,267482.3478339941,177476.82498304374,89912.54320319739,92.97964775293313
2,230487.5408193433,152759.04324603267,77648.04535666064,80.45221664997011
3,152088.42373795132,99975.05451376205,52058.30916027262,55.06006391666649
4,152088.42373795132,99975.05451376205,52058.30916027262,55.06006391666649
5,51081.460260223954,32750.608782068175,18310.462579695708,20.388898460067853
6,2271.677014275981,1055.623409614532,1214.072669464635,1.9809351968138285
7,2271.677014275981,1055.623409614532,1214.072669464635,1.9809351968138285
8,2271.677014275981,1055.623409614532,1214.072669464635,1.9809351968138285
9,2271.677014275981,1055.623409614532,1214.072669464635,1.9809351968138285
10,2271.677014275981,1055.623409614532,1214.072669464635,1.9809351968138285
11,1050.6309822855678,937.7999375306855,112.8203414703603,0.010703284521958942
12,457.53791654323453,410.1296484651482,47.31056027823589,0.09770779985045654
13,457.53791654323453,410.1296484651482,47.31056027823589,0.09770779985045654
14,457.53791654323453,410.1296484651482,47.31056027823589,0.09770779985045654
15,292.34862476336144,236.6443852204893,55.517033160476736,0.1872063823953807
16,292.34862476336144,236.6443852204893,55.517033160476736,0.1872063823953807
17,251.2771824063518,47.813017804004886,202.92919434332913,0.5349702590177958
18,237.05602458996816,168.94831634700034,67.87307415443118,0.234634088536645
19,211.00930805016458,48.017434405420545,162.5335438335069,0.45832981123713434
20,211.00930805016458,48.017434405420545,162.5335438335069,0.45832981123713434
21,200.00441275288176,56.35983570075778,143.22479289697364,0.41978415515035566
22,200.00441275288176,56.35983570075778,143.22479289697364,0.41978415515035566
23,195.71145123142327,90.89872381493075,104.47787827110906,0.33484914538345434
24,195.71145123142327,90.89872381493075,104.47787827110906,0.33484914538345434
25,194.23573061591682,85.62886313606063,108.26339715152304,0.34347032833314406
26,194.23573061591682,85.62886313606063,108.26339715152304,0.34347032833314406
27,193.90948592526865,69.59857337576648,123.93202713771684,0.3788854117853612
28,193.8614195138329,81.4921146798614,112.01696943471957,0.3523353992519564
29,193.66960140981098,71.82938805718453,121.4667218374453,0.37349151518113566
30,193.53946063877368,79.63824903295428,113.54550971538337,0.3557018904360349
